,open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
0,223.92,226.83,223.65,226.05,44289900.0,226.8271,223.6501,226.05,223.92,44340240.0,1.0,0.0,AAPL,XNAS,2024-08-16T00:00:00+0000
1,224.6,225.35,222.76,224.72,46335300.0,225.35,222.76,224.72,224.6,46414013.0,1.0,0.0,AAPL,XNAS,2024-08-15T00:00:00+0000
2,220.57,223.03,219.7,221.72,41888500.0,223.03,219.7,221.72,220.57,41960574.0,1.0,0.0,AAPL,XNAS,2024-08-14T00:00:00+0000
3,219.01,221.89,219.01,221.27,44095400.0,221.89,219.01,221.27,219.01,44155331.0,1.0,0.0,AAPL,XNAS,2024-08-13T00:00:00+0000
4,216.07,219.51,215.6,217.53,37992400.0,219.5099,215.6,217.53,216.07,38028092.0,1.0,0.25,AAPL,XNAS,2024-08-12T00:00:00+0000
5,212.1,216.78,211.97,216.24,42171700.0,216.78,211.97,215.99,212.1,42201646.0,1.0,0.0,AAPL,XNAS,2024-08-09T00:00:00+0000
6,213.11,214.2,208.83,213.31,44598400.0,214.2,208.83,213.31,213.11,47161149.0,1.0,0.0,AAPL,XNAS,2024-08-08T00:00:00+0000
7,206.9,213.64,206.39,209.82,63402300.0,213.64,206.39,209.82,206.9,63516417.0,1.0,0.0,AAPL,XNAS,2024-08-07T00:00:00+0000
8,205.39,209.98,201.07,207.23,69353188.0,209.99,201.07,207.23,205.3,69660488.0,1.0,0.0,AAPL,XNAS,2024-08-06T00:00:00+0000
9,199.14,213.47,196.21,209.27,117397952.0,213.5,196.0,209.27,199.09,119548589.0,1.0,0.0,AAPL,XNAS,2024-08-05T00:00:00+0000
10,219.15,225.6,217.71,219.86,98480100.0,225.6,217.71,219.86,219.15,105568560.0,1.0,0.0,AAPL,XNAS,2024-08-02T00:00:00+0000
11,224.37,224.48,217.02,218.36,61877900.0,224.48,217.02,218.36,224.37,62500996.0,1.0,0.0,AAPL,XNAS,2024-08-01T00:00:00+0000
12,221.44,223.82,220.63,222.08,49901700.0,223.82,220.63,222.08,221.44,50036262.0,1.0,0.0,AAPL,XNAS,2024-07-31T00:00:00+0000
13,219.19,220.33,216.12,218.8,41518300.0,220.325,216.12,218.8,219.19,41643840.0,1.0,0.0,AAPL,XNAS,2024-07-30T00:00:00+0000
14,216.96,219.3,215.75,218.24,36261400.0,219.3,215.75,218.24,216.96,36311778.0,1.0,0.0,AAPL,XNAS,2024-07-29T00:00:00+0000
15,218.7,219.49,216.01,217.96,41580100.0,219.49,216.01,217.96,218.7,41601345.0,1.0,0.0,AAPL,XNAS,2024-07-26T00:00:00+0000
16,218.93,220.85,214.62,217.49,51328200.0,220.85,214.62,217.49,218.93,51391199.0,1.0,0.0,AAPL,XNAS,2024-07-25T00:00:00+0000
17,224.0,224.8,217.13,218.54,61630300.0,224.8,217.13,218.54,224.0,61777576.0,1.0,0.0,AAPL,XNAS,2024-07-24T00:00:00+0000
18,224.37,226.94,222.68,225.01,39855700.0,226.94,222.68,225.01,224.365,39960260.0,1.0,0.0,AAPL,XNAS,2024-07-23T00:00:00+0000
